------Generation 0------
Rule 11: d112b, Class:  1, CF:0.971222, Len:  5, Fitness_tra: 5
Rule 12: 18114, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 5141c, Class:  1, CF:0.99878, Len:  5, Fitness_tra: 1
Rule 14: 51414, Class:  1, CF:0.681366, Len:  5, Fitness_tra: 0
Rule 15: 5571b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 1117b, Class:  1, CF:0.873321, Len:  5, Fitness_tra: 1
Rule 17: ec41a, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: d54b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: ec22e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e2482, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 34281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e7422, Class:  1, CF:0.955598, Len:  5, Fitness_tra: 0
Rule 23: 9741c, Class:  1, CF:0.999674, Len:  5, Fitness_tra: 0
Rule 24: 25271, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 32b12, Class:  0, CF:0.626778, Len:  5, Fitness_tra: 0
Rule 26: 18112, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: e2b12, Class:  1, CF:0.343809, Len:  5, Fitness_tra: 0
Rule 28: 9c242, Class:  0, CF:0.835362, Len:  5, Fitness_tra: 0
Rule 29: 9274b, Class:  1, CF:0.823491, Len:  5, Fitness_tra: 0
Rule 30: 18272, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 12112, Class:  1, CF:0.280886, Len:  5, Fitness_tra: 0
Rule 32: e81b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: e122b, Class:  1, CF:0.976284, Len:  5, Fitness_tra: 0
Rule 34: e2b18, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 35: d522b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 11217, Class:  1, CF:0.162148, Len:  5, Fitness_tra: 0
Rule 37: 12722, Class:  1, CF:0.845726, Len:  5, Fitness_tra: 0
Rule 38: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 32cb4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 18124, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 41: d2212, Class:  1, CF:0.488617, Len:  5, Fitness_tra: 0
Rule 42: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1c24c, Class:  1, CF:0.896777, Len:  5, Fitness_tra: 0
Rule 44: 51272, Class:  1, CF:0.97798, Len:  5, Fitness_tra: 0
Rule 45: 34712, Class:  0, CF:0.647401, Len:  5, Fitness_tra: 0
Rule 46: 322bb, Class:  0, CF:0.825445, Len:  5, Fitness_tra: 0
Rule 47: 15124, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 644cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: d2722, Class:  1, CF:0.938658, Len:  5, Fitness_tra: 0
Rule 50: 31142, Class:  1, CF:0.13403, Len:  5, Fitness_tra: 0
Rule 51: 91211, Class:  1, CF:0.280172, Len:  5, Fitness_tra: 0
Rule 52: e2241, Class:  1, CF:0.183488, Len:  5, Fitness_tra: 0
Rule 53: 31112, Class:  0, CF:0.133644, Len:  5, Fitness_tra: 0
Rule 54: abb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 18224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 91c47, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 11c41, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 58: 34112, Class:  0, CF:0.489629, Len:  5, Fitness_tra: 0
Rule 59: 3d844, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 60: 141c1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 61: 38112, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 62: 11c17, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 63: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 112b2, Class:  1, CF:0.929755, Len:  5, Fitness_tra: 0
Rule 65: 18221, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 66: d8c74, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 67: 1dc1b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 68: d4472, Class:  1, CF:0.937892, Len:  5, Fitness_tra: 0
Rule 69: 35217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 70: 97718, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: 35122, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 15c71, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 73: 91112, Class:  1, CF:0.921956, Len:  5, Fitness_tra: 0
Rule 74: 1c427, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 75: 171c4, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 76: e221d, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: 5812e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 17221, Class:  1, CF:0.00122195, Len:  5, Fitness_tra: 0
Rule 79: e1241, Class:  1, CF:0.912115, Len:  5, Fitness_tra: 0
Rule 80: 18c71, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: 1c225, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 82: 17144, Class:  1, CF:0.860292, Len:  5, Fitness_tra: 0
Rule 83: 31212, Class:  0, CF:0.484218, Len:  5, Fitness_tra: 0
Rule 84: 1c7b8, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: 51115, Class:  1, CF:  1, Len:  5, Fitness_tra: 21
Rule 86: 31122, Class:  1, CF:0.13403, Len:  5, Fitness_tra: 0
Rule 87: 17421, Class:  1, CF:0.00534358, Len:  5, Fitness_tra: 0
Rule 88: 32787, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: e1222, Class:  1, CF:0.980164, Len:  5, Fitness_tra: 0
Rule 90: 91481, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 91: 18226, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 92: 1811b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: 31941, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 94: d1161, Class:  1, CF:0.0287877, Len:  5, Fitness_tra: 0
Rule 95: 12722, Class:  1, CF:0.845726, Len:  0, Fitness_tra: 0
Rule 96: 1c11a, Class:  0, CF:  1, Len:  5, Fitness_tra: 77
Rule 97: a1411, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 98: 12720, Class:  1, CF:0.0101957, Len:  4, Fitness_tra: 0
Rule 99: 5411a, Class:  0, CF:0.621491, Len:  5, Fitness_tra: 20
Rule100: 1dc11, Class:  0, CF:  1, Len:  5, Fitness_tra: 4
------Current------
Miss_rate(tra)	:40.4192
------Result------
Miss_rate(tra)	:40.4192
Miss_rate(tst)	:0
ARL				:4.82796

------Generation 1------
Rule  1: 17411, Class:  0, CF:0.72482, Len:  5, Fitness_tra: 33
Rule  2: 51117, Class:  1, CF:0.772995, Len:  5, Fitness_tra: 34
Rule  3: 21147, Class:  1, CF:0.964239, Len:  5, Fitness_tra: 29
Rule  4: d8711, Class:  0, CF:  1, Len:  5, Fitness_tra: 8
Rule  5: 11115, Class:  1, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: 91111, Class:  1, CF:0.720942, Len:  5, Fitness_tra: 29
Rule  7: 511b7, Class:  1, CF:0.969152, Len:  5, Fitness_tra: 20
Rule  8: 32211, Class:  0, CF:0.994635, Len:  5, Fitness_tra: 8
Rule  9: 111b7, Class:  1, CF:0.892587, Len:  5, Fitness_tra: 11
Rule 10: 32b11, Class:  0, CF:0.958974, Len:  5, Fitness_tra: 2
Rule 11: d112b, Class:  1, CF:0.971222, Len:  5, Fitness_tra: 5
Rule 12: 18114, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 5141c, Class:  1, CF:0.99878, Len:  5, Fitness_tra: 1
Rule 14: 51414, Class:  1, CF:0.681366, Len:  5, Fitness_tra: 0
Rule 15: 5571b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 1117b, Class:  1, CF:0.873321, Len:  5, Fitness_tra: 1
Rule 17: ec41a, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: d54b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: ec22e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e2482, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 34281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e7422, Class:  1, CF:0.955598, Len:  5, Fitness_tra: 0
Rule 23: 9741c, Class:  1, CF:0.999674, Len:  5, Fitness_tra: 0
Rule 24: 25271, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 32b12, Class:  0, CF:0.626778, Len:  5, Fitness_tra: 0
Rule 26: 18112, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: e2b12, Class:  1, CF:0.343809, Len:  5, Fitness_tra: 0
Rule 28: 9c242, Class:  0, CF:0.835362, Len:  5, Fitness_tra: 0
Rule 29: 9274b, Class:  1, CF:0.823491, Len:  5, Fitness_tra: 0
Rule 30: 18272, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 12112, Class:  1, CF:0.280886, Len:  5, Fitness_tra: 0
Rule 32: e81b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: e122b, Class:  1, CF:0.976284, Len:  5, Fitness_tra: 0
Rule 34: e2b18, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 35: d522b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 11217, Class:  1, CF:0.162148, Len:  5, Fitness_tra: 0
Rule 37: 12722, Class:  1, CF:0.845726, Len:  5, Fitness_tra: 0
Rule 38: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 32cb4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 18124, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 41: d2212, Class:  1, CF:0.488617, Len:  5, Fitness_tra: 0
Rule 42: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
