------Generation 0------
Rule 29: 714773247b, Class:  4, CF:0.00785185, Len: 10, Fitness_tra: 0
Rule 30: 2777d14442, Class:  2, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 31: 4147d12227, Class:  2, CF:0.997123, Len: 10, Fitness_tra: 0
Rule 32: 42441a2b2b, Class:  4, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 33: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 4174531752, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 224463b14b, Class:  4, CF:0.991193, Len: 10, Fitness_tra: 0
Rule 39: 2148aa1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: d72b147241, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 77721e2772, Class:  2, CF:0.992341, Len: 10, Fitness_tra: 0
Rule 42: bab55211b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b4b4217b7b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: b97253bb12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 7124b24722, Class:  2, CF:0.484083, Len: 10, Fitness_tra: -2
Rule 46: 42772921d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 24b25e4471, Class:  2, CF:0.722297, Len: 10, Fitness_tra: 0
Rule 48: 2712214bb4, Class:  2, CF:0.631367, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 14b4a62b27, Class:  4, CF:0.998785, Len: 10, Fitness_tra: 0
Rule 52: 22b731b722, Class:  4, CF:0.446214, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 7744414147, Class:  2, CF:0.744391, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1c2b53bc12, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 1741862227, Class:  2, CF:0.940988, Len: 10, Fitness_tra: 0
Rule 58: 744b2177b7, Class:  2, CF:0.133871, Len: 10, Fitness_tra: 0
Rule 59: 2c14597112, Class:  1, CF:0.588633, Len: 10, Fitness_tra: 10
Rule 60: 4174b1b2b7, Class:  2, CF:0.144995, Len: 10, Fitness_tra: 0
Rule 61: 17724921b7, Class:  2, CF:0.570138, Len: 10, Fitness_tra: -41
Rule 62: 7b2b132b24, Class:  4, CF:0.391345, Len: 10, Fitness_tra: 0
Rule 63: 21419e2b7b, Class:  2, CF:0.869856, Len: 10, Fitness_tra: -14
Rule 64: 7d224bb122, Class:  2, CF:0.323823, Len: 10, Fitness_tra: -2
Rule 65: 174b82b712, Class:  2, CF:0.887401, Len: 10, Fitness_tra: -959
Rule 66: 477b48b742, Class:  2, CF:0.906851, Len: 10, Fitness_tra: 1
Rule 67: 7274134251, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: b417f32241, Class:  4, CF:0.98999, Len: 10, Fitness_tra: -12
Rule 69: b24b254bb4, Class:  1, CF:0.461252, Len: 10, Fitness_tra: 0
Rule 70: 1b72412427, Class:  2, CF:0.992695, Len: 10, Fitness_tra: 0
Rule 71: b2242e4421, Class:  2, CF:0.403908, Len: 10, Fitness_tra: 0
Rule 72: 7518aab777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b4b21abb41, Class:  4, CF:0.996313, Len: 10, Fitness_tra: 0
Rule 74: 734d3341b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1242812551, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 76: 1b42667242, Class:  4, CF:0.99974, Len: 10, Fitness_tra: 0
Rule 77: 1717d3bbb2, Class:  2, CF:0.982862, Len: 10, Fitness_tra: 0
Rule 78: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 81147214c1, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: b21b4c7b4b, Class:  2, CF:0.184998, Len: 10, Fitness_tra: -39
Rule 81: 7772227b7b, Class:  2, CF:0.695094, Len: 10, Fitness_tra: 0
Rule 82: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2722ff2b47, Class:  4, CF:0.999984, Len: 10, Fitness_tra: 0
